会社名,書類名,docID,証券コード,ＥＤＩＮＥＴコード,決算期,提出日,提出者業種
ピープル株式会社,有価証券報告書－第45期(令和3年1月21日－令和4年1月20日),S100NW70,78650,E02882,2022-01-20,2022-04-14,その他製品
株式会社タカショー,有価証券報告書－第42期(令和3年1月21日－令和4年1月20日),S100NVPA,75900,E02888,2022-01-20,2022-04-15,卸売業
ダイドーグループホールディングス株式会社,有価証券報告書－第47期(令和3年1月21日－令和4年1月20日),S100NWQE,25900,E00424,2022-01-20,2022-04-18,食料品
株式会社トーホー,有価証券報告書－第69期(令和3年2月1日－令和4年1月31日),S100NXCA,81420,E02665,2022-01-31,2022-04-20,卸売業
株式会社アルトナー,有価証券報告書－第60期(令和3年2月1日－令和4年1月31日),S100NXHQ,21630,E05717,2022-01-31,2022-04-21,サービス業
株式会社ＡＣＣＥＳＳ,有価証券報告書－第38期(令和3年2月1日－令和4年1月31日),S100NXGF,48130,E05168,2022-01-31,2022-04-21,情報・通信業
株式会社イムラ封筒,有価証券報告書－第72期(令和3年2月1日－令和4年1月31日),S100NXN2,39550,E00688,2022-01-31,2022-04-22,パルプ・紙
オーエス株式会社,有価証券報告書－第104期(令和3年2月1日－令和4年1月31日),S100NXFG,96370,E04593,2022-01-31,2022-04-22,内国法人・組合（有価証券報告書等の提出義務者以外）
ポールトゥウィン・ピットクルーホールディングス株式会社,有価証券報告書－第13期(令和3年2月1日－令和4年1月31日),S100NXSD,36570,E25898,2022-01-31,2022-04-22,情報・通信業
株式会社Ｍマート,有価証券報告書－第22期(令和3年2月1日－令和4年1月31日),S100NXKL,43800,E33784,2022-01-31,2022-04-22,情報・通信業
株式会社シーイーシー,有価証券報告書－第54期(令和3年2月1日－令和4年1月31日),S100NXK9,96920,E04853,2022-01-31,2022-04-22,情報・通信業
クロスプラス株式会社,有価証券報告書－第69期(令和3年2月1日－令和4年1月31日),S100NXUT,33200,E02967,2022-01-31,2022-04-25,卸売業
株式会社三井ハイテック,有価証券報告書－第88期(令和3年2月1日－令和4年1月31日),S100NXLH,69660,E02293,2022-01-31,2022-04-25,電気機器
太洋基礎工業株式会社,有価証券報告書－第55期(令和3年2月1日－令和4年1月31日),S100NXQ7,17580,E00287,2022-01-31,2022-04-25,建設業
株式会社光・彩,有価証券報告書－第55期(令和3年2月1日－令和4年1月31日),S100NY2T,78780,E02439,2022-01-31,2022-04-25,その他製品
株式会社鎌倉新書,有価証券報告書－第38期(令和3年2月1日－令和4年1月31日),S100NY2C,61840,E31871,2022-01-31,2022-04-25,サービス業
株式会社バリューゴルフ,有価証券報告書－第18期(令和3年2月1日－令和4年1月31日),S100NXW9,39310,E32108,2022-01-31,2022-04-25,情報・通信業
三原京覧開発　株式会社,有価証券報告書－第49期(令和3年2月1日－令和4年1月31日),S100NY6G,,E04676,2022-01-31,2022-04-26,サービス業
備後観光開発株式会社,有価証券報告書－第49期(令和3年2月1日－令和4年1月31日),S100NY3Y,,E04672,2022-01-31,2022-04-26,サービス業
スバル興業株式会社,有価証券報告書－第108期(令和3年2月1日－令和4年1月31日),S100NYAH,96320,E04599,2022-01-31,2022-04-26,サービス業
株式会社丹青社,有価証券報告書－第64期(令和3年2月1日－令和4年1月31日),S100NXXX,97430,E00208,2022-01-31,2022-04-26,サービス業
Ｍｉｋａｔｕｓ株式会社,有価証券報告書－第13期(令和3年2月1日－令和4年1月31日),S100NXZC,,E24479,2022-01-31,2022-04-26,サービス業
株式会社アピリッツ,有価証券報告書－第22期(令和3年2月1日－令和4年1月31日),S100NY5H,41740,E36213,2022-01-31,2022-04-26,情報・通信業
株式会社アールプランナー,有価証券報告書－第19期(令和3年2月1日－令和4年1月31日),S100NXS7,29830,E35144,2022-01-31,2022-04-26,不動産業
株式会社きんえい,有価証券報告書－第125期(令和3年2月1日－令和4年1月31日),S100NX7D,96360,E04592,2022-01-31,2022-04-26,サービス業
菱洋エレクトロ株式会社,有価証券報告書－第62期(令和3年2月1日－令和4年1月31日),S100NY2Z,80680,E02685,2022-01-31,2022-04-26,卸売業
株式会社石井表記,有価証券報告書－第49期(令和3年2月1日－令和4年1月31日),S100NYHI,63360,E02047,2022-01-31,2022-04-27,機械
株式会社福岡カンツリー倶楽部,有価証券報告書－第71期(令和3年2月1日－令和4年1月31日),S100NYCK,,E04647,2022-01-31,2022-04-27,サービス業
株式会社ストリーム,有価証券報告書－第23期(令和3年2月1日－令和4年1月31日),S100NYHZ,30710,E03506,2022-01-31,2022-04-27,小売業
積水ハウス株式会社,有価証券報告書－第71期(令和3年2月1日－令和4年1月31日),S100NXTE,19280,E00143,2022-01-31,2022-04-27,建設業
不二電機工業株式会社,有価証券報告書－第64期(令和3年2月1日－令和4年1月31日),S100NY5L,66540,E02007,2022-01-31,2022-04-27,電気機器
モロゾフ株式会社,有価証券報告書－第92期(令和3年2月1日－令和4年1月31日),S100NYGX,22170,E00381,2022-01-31,2022-04-27,食料品
株式会社ユークス,有価証券報告書－第30期(令和3年2月1日－令和4年1月31日),S100NXZ3,43340,E05254,2022-01-31,2022-04-27,情報・通信業
株式会社可児ゴルフ倶楽部,有価証券報告書－第49期(令和3年2月1日－令和4年1月31日),S100NYLE,,E04671,2022-01-31,2022-04-27,サービス業
株式会社ＳＫＩＹＡＫＩ,有価証券報告書－第19期(令和3年2月1日－令和4年1月31日),S100NYKP,39950,E33294,2022-01-31,2022-04-27,情報・通信業
株式会社精養軒,有価証券報告書－第158期(令和3年2月1日－令和4年1月31日),S100NY07,97340,E04763,2022-01-31,2022-04-27,サービス業
ミライアル株式会社,有価証券報告書－第54期(令和3年2月1日－令和4年1月31日),S100NYOE,42380,E02477,2022-01-31,2022-04-27,化学
株式会社ＴＯＫＹＯ　ＢＡＳＥ,有価証券報告書－第14期(令和3年3月1日－令和4年1月31日),S100NYOL,34150,E31742,2022-01-31,2022-04-27,小売業
トミタ電機株式会社,有価証券報告書－第71期(令和3年2月1日－令和4年1月31日),S100NY4X,68980,E02016,2022-01-31,2022-04-27,電気機器
サンバイオ株式会社,有価証券報告書－第9期(令和3年2月1日－令和4年1月31日),S100NYCJ,45920,E31382,2022-01-31,2022-04-27,医薬品
株式会社ジェイック,有価証券報告書－第31期(令和3年2月1日－令和4年1月31日),S100NYPF,70730,E35187,2022-01-31,2022-04-27,サービス業
株式会社アマガサ,有価証券報告書－第32期(令和3年2月1日－令和4年1月31日),S100NYGW,30700,E03004,2022-01-31,2022-04-27,卸売業
株式会社ネオジャパン,有価証券報告書－第30期(令和3年2月1日－令和4年1月31日),S100NYDZ,39210,E31902,2022-01-31,2022-04-27,情報・通信業
アセンテック株式会社,有価証券報告書－第14期(令和3年2月1日－令和4年1月31日),S100NYQ0,35650,E33109,2022-01-31,2022-04-27,卸売業
株式会社トラース・オン・プロダクト,有価証券報告書－第28期(令和3年2月1日－令和4年1月31日),S100NYPY,66960,E33323,2022-01-31,2022-04-27,電気機器
株式会社ジャストプランニング,有価証券報告書－第28期(令和3年2月1日－令和4年1月31日),S100NYAT,42870,E05204,2022-01-31,2022-04-27,情報・通信業
株式会社　トリケミカル研究所,有価証券報告書－第44期(令和3年2月1日－令和4年1月31日),S100NXBO,43690,E02490,2022-01-31,2022-04-28,化学
株式会社ＯＳＧコーポレーション,有価証券報告書－第52期(令和3年2月1日－令和4年1月31日),S100NYNG,67570,E02065,2022-01-31,2022-04-28,電気機器
株式会社コーセーアールイー,有価証券報告書－第32期(令和3年2月1日－令和4年1月31日),S100NYBZ,32460,E04075,2022-01-31,2022-04-28,不動産業
株式会社ＮＡＴＴＹ　ＳＷＡＮＫＹホールディングス,有価証券報告書－第21期(令和3年7月1日－令和4年1月31日),S100NYCU,76740,E34747,2022-01-31,2022-04-28,小売業
株式会社オーエムツーネットワーク,有価証券報告書－第63期(令和3年2月1日－令和4年1月31日),S100NYNQ,76140,E03317,2022-01-31,2022-04-28,小売業
株式会社ミサワ,有価証券報告書－第63期(令和3年2月1日－令和4年1月31日),S100NYOC,31690,E26095,2022-01-31,2022-04-28,小売業
株式会社ライトワークス,有価証券報告書－第27期(令和3年2月1日－令和4年1月31日),S100NYWE,42670,E37358,2022-01-31,2022-04-28,情報・通信業
株式会社丸千代山岡家,有価証券報告書－第29期(令和3年2月1日－令和4年1月31日),S100NYXJ,33990,E03470,2022-01-31,2022-04-28,小売業
株式会社ナイガイ,有価証券報告書－第125期(令和3年2月1日－令和4年1月31日),S100NYP2,80130,E00571,2022-01-31,2022-04-28,繊維製品
株式会社東京楽天地,有価証券報告書－第123期(令和3年2月1日－令和4年1月31日),S100NXOD,88420,E04590,2022-01-31,2022-04-28,不動産業
ベステラ株式会社,有価証券報告書－第49期(令和3年2月1日－令和4年1月31日),S100NYS4,14330,E31731,2022-01-31,2022-04-28,建設業
株式会社ダブルエー,有価証券報告書－第21期(令和3年2月1日－令和4年1月31日),S100NYY9,76830,E35170,2022-01-31,2022-04-28,小売業
株式会社ｃｏｌｙ,有価証券報告書－第8期(令和3年2月1日－令和4年1月31日),S100NYQX,41750,E36322,2022-01-31,2022-04-28,情報・通信業
モイ株式会社,有価証券報告書－第10期(令和3年2月1日－令和4年1月31日),S100NYYT,,E37333,2022-01-31,2022-04-28,情報・通信業
株式会社エニグモ,有価証券報告書－第18期(令和3年2月1日－令和4年1月31日),S100NYU9,36650,E26703,2022-01-31,2022-04-28,情報・通信業
株式会社ストレージ王,有価証券報告書－第12期(令和3年2月1日－令和4年1月31日),S100NYZO,,E37595,2022-01-31,2022-04-28,不動産業
株式会社Ｃａｓａ,有価証券報告書－第9期(令和3年2月1日－令和4年1月31日),S100NX16,71960,E33485,2022-01-31,2022-04-28,その他金融業
丸善ＣＨＩホールディングス株式会社,有価証券報告書－第12期(令和3年2月1日－令和4年1月31日),S100NYXX,31590,E23841,2022-01-31,2022-04-28,小売業
株式会社ハウテレビジョン,有価証券報告書－第12期(令和3年2月1日－令和4年1月31日),S100NZ01,70640,E34866,2022-01-31,2022-04-28,サービス業
新都ホールディングス株式会社,有価証券報告書－第38期(令和3年2月1日－令和4年1月31日),S100NYYJ,27760,E02960,2022-01-31,2022-04-28,卸売業
アジャイルメディア・ネットワーク株式会社,有価証券報告書－第15期(令和3年1月1日－令和3年12月31日),S100O0LR,65730,E33868,2021-12-31,2022-05-11,サービス業
株式会社　セキチュー,有価証券報告書－第71期(令和3年2月21日－令和4年2月20日),S100O02E,99760,E03219,2022-02-20,2022-05-12,小売業
株式会社オークワ,有価証券報告書－第53期(令和3年2月21日－令和4年2月20日),S100O06O,82170,E03119,2022-02-20,2022-05-12,小売業
パレモ・ホールディングス株式会社,有価証券報告書－第37期(令和3年2月21日－令和4年2月20日),S100O17W,27780,E03415,2022-02-20,2022-05-13,小売業
株式会社あさひ,有価証券報告書－第47期(令和3年2月21日－令和4年2月20日),S100O26N,33330,E03439,2022-02-20,2022-05-16,小売業
株式会社しまむら,有価証券報告書－第69期(令和3年2月21日－令和4年2月20日),S100O2BT,82270,E03137,2022-02-20,2022-05-16,小売業
株式会社ハイパー,有価証券報告書－第32期(令和3年1月1日－令和3年12月31日),S100O2JZ,30540,E05627,2021-12-31,2022-05-17,卸売業
株式会社瑞光,有価証券報告書－第59期(令和3年2月21日－令和4年2月20日),S100O2NV,62790,E01677,2022-02-20,2022-05-17,機械
株式会社西松屋チェーン,有価証券報告書－第66期(令和3年2月21日－令和4年2月20日),S100O2PE,75450,E03287,2022-02-20,2022-05-18,小売業
イオン九州株式会社,有価証券報告書－第50期(令和3年3月1日－令和4年2月28日),S100O2JL,26530,E03349,2022-02-28,2022-05-18,小売業
株式会社イオンファンタジー,有価証券報告書－第26期(令和3年3月1日－令和4年2月28日),S100O31X,43430,E05264,2022-02-28,2022-05-19,サービス業
株式会社サンデー,有価証券報告書－第48期(令和3年3月1日－令和4年2月28日),S100O32N,74500,E03245,2022-02-28,2022-05-19,小売業
イオンディライト株式会社,有価証券報告書－第49期(令和3年3月1日－令和4年2月28日),S100O33O,97870,E04874,2022-02-28,2022-05-19,サービス業
富士精工株式会社,有価証券報告書－第64期(令和3年3月1日－令和4年2月28日),S100O325,61420,E01503,2022-02-28,2022-05-19,機械
オリジン東秀株式会社,有価証券報告書－第56期(令和3年3月1日－令和4年2月28日),S100O313,,E03302,2022-02-28,2022-05-20,小売業
イオンモール株式会社,有価証券報告書－第111期(令和3年3月1日－令和4年2月28日),S100O38Z,89050,E04002,2022-02-28,2022-05-20,不動産業
株式会社ニトリホールディングス,有価証券報告書－第50期(令和3年2月21日－令和4年2月20日),S100O35Q,98430,E03144,2022-02-20,2022-05-20,小売業
株式会社　平和堂,有価証券報告書－第65期(令和3年2月21日－令和4年2月20日),S100O30J,82760,E03081,2022-02-20,2022-05-20,小売業
株式会社フジ,有価証券報告書－第55期(令和3年3月1日－令和4年2月28日),S100O379,82780,E03118,2022-02-28,2022-05-20,小売業
株式会社柿安本店,有価証券報告書－第54期(令和3年3月1日－令和4年2月28日),S100O349,22940,E03283,2022-02-28,2022-05-20,食料品
ユナイテッド・スーパーマーケット・ホールディングス株式会社,有価証券報告書－第7期(令和3年3月1日－令和4年2月28日),S100O2YD,32220,E31159,2022-02-28,2022-05-23,小売業
イオン北海道株式会社,有価証券報告書－第44期(令和3年3月1日－令和4年2月28日),S100O3FW,75120,E03268,2022-02-28,2022-05-23,小売業
スギホールディングス株式会社,有価証券報告書－第40期(令和3年3月1日－令和4年2月28日),S100O3H3,76490,E03344,2022-02-28,2022-05-23,小売業
株式会社ＹＥ　ＤＩＧＩＴＡＬ,有価証券報告書－第45期(令和3年3月1日－令和4年2月28日),S100O3OR,23540,E05328,2022-02-28,2022-05-23,情報・通信業
ミニストップ株式会社,有価証券報告書－第43期(令和3年3月1日－令和4年2月28日),S100O3FO,99460,E03188,2022-02-28,2022-05-23,小売業
株式会社ＮａＩＴＯ,有価証券報告書－第71期(令和3年3月1日－令和4年2月28日),S100O3L1,76240,E02903,2022-02-28,2022-05-24,卸売業
株式会社トーヨーアサノ,有価証券報告書－第79期(令和3年3月1日－令和4年2月28日),S100O3AO,52710,E01165,2022-02-28,2022-05-24,ガラス・土石製品
株式会社アークス,有価証券報告書－第61期(令和3年3月1日－令和4年2月28日),S100O3O2,99480,E03199,2022-02-28,2022-05-24,小売業
株式会社ＡＬｉＮＫインターネット,有価証券報告書－第9期(令和3年3月1日－令和4年2月28日),S100O3KM,70770,E35288,2022-02-28,2022-05-24,サービス業
イオンフィナンシャルサービス株式会社,有価証券報告書－第41期(令和3年3月1日－令和4年2月28日),S100O3Y7,85700,E04912,2022-02-28,2022-05-24,その他金融業
株式会社ジーフット,有価証券報告書－第51期(令和3年3月1日－令和4年2月28日),S100O413,26860,E03370,2022-02-28,2022-05-24,小売業
株式会社ケーヨー,有価証券報告書－第84期(令和3年3月1日－令和4年2月28日),S100O3WQ,81680,E03096,2022-02-28,2022-05-25,小売業
株式会社コックス,有価証券報告書－第49期(令和3年3月1日－令和4年2月28日),S100O3KS,98760,E03163,2022-02-28,2022-05-25,小売業
カネ美食品株式会社,有価証券報告書－第52期(令和3年3月1日－令和4年2月28日),S100O3YP,26690,E03358,2022-02-28,2022-05-25,小売業
エスフーズ株式会社,有価証券報告書－第56期(令和3年3月1日－令和4年2月28日),S100O426,22920,E00342,2022-02-28,2022-05-25,食料品
株式会社リンガーハット,有価証券報告書－第58期(令和3年3月1日－令和4年2月28日),S100O433,82000,E03099,2022-02-28,2022-05-25,小売業
ディップ株式会社,有価証券報告書－第25期(令和3年3月1日－令和4年2月28日),S100O419,23790,E05368,2022-02-28,2022-05-25,サービス業
株式会社エーアイテイー,有価証券報告書－第35期(令和3年3月1日－令和4年2月28日),S100O3JN,93810,E04369,2022-02-28,2022-05-25,倉庫・運輸関連
株式会社ニューテック,有価証券報告書－第40期(令和3年3月1日－令和4年2月28日),S100O3JJ,67340,E02072,2022-02-28,2022-05-25,電気機器
株式会社トレジャー・ファクトリー,有価証券報告書－第27期(令和3年3月1日－令和4年2月28日),S100O3HZ,30930,E03520,2022-02-28,2022-05-25,小売業
マックスバリュ東海株式会社,有価証券報告書－第60期(令和3年3月1日－令和4年2月28日),S100O46B,81980,E03087,2022-02-28,2022-05-25,小売業
株式会社ＰＲ　ＴＩＭＥＳ,有価証券報告書－第17期(令和3年3月1日－令和4年2月28日),S100O41M,39220,E31965,2022-02-28,2022-05-25,情報・通信業
株式会社プレナス,有価証券報告書－第62期(令和3年3月1日－令和4年2月28日),S100O48O,99450,E03200,2022-02-28,2022-05-25,小売業
バリオセキュア株式会社,有価証券報告書－第7期(令和3年3月1日－令和4年2月28日),S100O3VU,44940,E35544,2022-02-28,2022-05-25,情報・通信業
ソーバル株式会社,有価証券報告書－第40期(令和3年3月1日－令和4年2月28日),S100O3T1,21860,E22049,2022-02-28,2022-05-25,サービス業
株式会社竹内製作所,有価証券報告書－第60期(令和3年3月1日－令和4年2月28日),S100O49O,64320,E01723,2022-02-28,2022-05-25,機械
株式会社ゼットン,有価証券報告書－第27期(令和3年3月1日－令和4年2月28日),S100O48Y,30570,E03486,2022-02-28,2022-05-25,小売業
株式会社システムインテグレータ,有価証券報告書－第27期(令和3年3月1日－令和4年2月28日),S100O49P,38260,E05643,2022-02-28,2022-05-25,情報・通信業
株式会社さいか屋,有価証券報告書－第90期(令和3年3月1日－令和4年2月28日),S100O48R,82540,E03044,2022-02-28,2022-05-25,小売業
株式会社エディア,有価証券報告書－第23期(令和3年3月1日－令和4年2月28日),S100O4AW,39350,E32238,2022-02-28,2022-05-25,情報・通信業
ウエルシアホールディングス株式会社,有価証券報告書－第14期(令和3年3月1日－令和4年2月28日),S100O3VW,31410,E21035,2022-02-28,2022-05-25,小売業
松竹株式会社,有価証券報告書－第156期(令和3年3月1日－令和4年2月28日),S100O499,96010,E04582,2022-02-28,2022-05-25,情報・通信業
ポケットカード株式会社,有価証券報告書－第40期(令和3年3月1日－令和4年2月28日),S100O46D,,E04963,2022-02-28,2022-05-26,その他金融業
ウイングアーク１ｓｔ株式会社,有価証券報告書－第6期(令和3年3月1日－令和4年2月28日),S100O4FC,44320,E33957,2022-02-28,2022-05-26,情報・通信業
株式会社ダイセキ環境ソリューション,有価証券報告書－第26期(令和3年3月1日－令和4年2月28日),S100O4E3,17120,E05444,2022-02-28,2022-05-26,建設業
株式会社ジオコード,有価証券報告書－第18期(令和3年3月1日－令和4年2月28日),S100O4H2,73570,E36078,2022-02-28,2022-05-26,サービス業
株式会社ハブ,有価証券報告書－第24期(令和3年3月1日－令和4年2月28日),S100O4H3,30300,E03473,2022-02-28,2022-05-26,小売業
タビオ株式会社,有価証券報告書－第45期(令和3年3月1日－令和4年2月28日),S100O4D5,26680,E02923,2022-02-28,2022-05-26,卸売業
株式会社イズミ,有価証券報告書－第61期(令和3年3月1日－令和4年2月28日),S100O47S,82730,E03068,2022-02-28,2022-05-26,小売業
株式会社日本色材工業研究所,有価証券報告書－第65期(令和3年3月1日－令和4年2月28日),S100O4GG,49200,E01040,2022-02-28,2022-05-26,化学
クオンタムソリューションズ株式会社,有価証券報告書－第23期(令和3年3月1日－令和4年2月28日),S100O3Q6,23380,E05315,2022-02-28,2022-05-26,情報・通信業
株式会社髙島屋,有価証券報告書－第156期(令和3年3月1日－令和4年2月28日),S100O42J,82330,E03013,2022-02-28,2022-05-26,小売業
中本パックス株式会社,有価証券報告書－第34期(令和3年3月1日－令和4年2月28日),S100O4IW,78110,E31924,2022-02-28,2022-05-26,その他製品
株式会社フェリシモ,有価証券報告書－第57期(令和3年3月1日－令和4年2月28日),S100O4JC,33960,E03467,2022-02-28,2022-05-26,小売業
株式会社マックハウス,有価証券報告書－第32期(令和3年3月1日－令和4年2月28日),S100O4JG,76030,E03313,2022-02-28,2022-05-26,小売業
株式会社ハイデイ日高,有価証券報告書－第44期(令和3年3月1日－令和4年2月28日),S100O4B9,76110,E03318,2022-02-28,2022-05-26,小売業
株式会社ポプラ,有価証券報告書－第47期(令和3年3月1日－令和4年2月28日),S100O3Y8,76010,E03312,2022-02-28,2022-05-26,小売業
株式会社ミスターマックス・ホールディングス,有価証券報告書－第73期(令和3年3月1日－令和4年2月28日),S100O4CJ,82030,E03103,2022-02-28,2022-05-26,小売業
株式会社ベルク,有価証券報告書－第63期(令和3年3月1日－令和4年2月28日),S100O4KK,99740,E03216,2022-02-28,2022-05-26,小売業
エコートレーディング株式会社,有価証券報告書－第51期(令和3年3月1日－令和4年2月28日),S100O3TF,74270,E02801,2022-02-28,2022-05-26,卸売業
株式会社ローソン,有価証券報告書－第47期(令和3年3月1日－令和4年2月28日),S100O4IS,26510,E03345,2022-02-28,2022-05-26,小売業
アークランドサカモト株式会社,有価証券報告書－第53期(令和3年2月21日－令和4年2月28日),S100O4DZ,98420,E02706,2022-02-28,2022-05-26,小売業
株式会社パルグループホールディングス,有価証券報告書－第50期(令和3年3月1日－令和4年2月28日),S100O4IQ,27260,E03387,2022-02-28,2022-05-26,小売業
株式会社ナルミヤ・インターナショナル,有価証券報告書－第6期(令和3年3月1日－令和4年2月28日),S100O4M4,92750,E34249,2022-02-28,2022-05-26,小売業
株式会社市進ホールディングス,有価証券報告書－第48期(令和3年3月1日－令和4年2月28日),S100O48J,46450,E04958,2022-02-28,2022-05-26,サービス業
株式会社ピックルスコーポレーション,有価証券報告書－第46期(令和3年3月1日－令和4年2月28日),S100O3SO,29250,E00512,2022-02-28,2022-05-26,食料品
リックソフト株式会社,有価証券報告書－第20期(令和3年3月1日－令和4年2月28日),S100O44E,44290,E34633,2022-02-28,2022-05-26,情報・通信業
株式会社アオキスーパー,有価証券報告書－第48期(令和3年3月1日－令和4年2月28日),S100O4I9,99770,E03220,2022-02-28,2022-05-26,小売業
北雄ラッキー株式会社,有価証券報告書－第52期(令和3年3月1日－令和4年2月28日),S100O40A,27470,E03397,2022-02-28,2022-05-26,小売業
株式会社歌舞伎座,有価証券報告書－第98期(令和3年3月1日－令和4年2月28日),S100O4K4,96610,E04606,2022-02-28,2022-05-26,サービス業
株式会社東京個別指導学院,有価証券報告書－第39期(令和3年3月1日－令和4年2月28日),S100O4LI,47450,E05067,2022-02-28,2022-05-26,サービス業
株式会社メディカル一光グループ,有価証券報告書－第37期(令和3年3月1日－令和4年2月28日),S100O4HK,33530,E03443,2022-02-28,2022-05-26,小売業
株式会社ヤマザワ,有価証券報告書－第60期(令和3年3月1日－令和4年2月28日),S100O4LL,99930,E03228,2022-02-28,2022-05-26,小売業
株式会社コメダホールディングス,有価証券報告書－第8期(令和3年3月1日－令和4年2月28日),S100O4NS,35430,E32427,2022-02-28,2022-05-26,卸売業
株式会社ティーケーピー,有価証券報告書－第17期(令和3年3月1日－令和4年2月28日),S100O4NY,34790,E20616,2022-02-28,2022-05-26,不動産業
ＳＦＰホールディングス株式会社,有価証券報告書－第12期(令和3年3月1日－令和4年2月28日),S100O33J,31980,E31029,2022-02-28,2022-05-26,小売業
株式会社ボードルア,有価証券報告書－第15期(令和3年3月1日－令和4年2月28日),S100O46H,44130,E37133,2022-02-28,2022-05-26,情報・通信業
株式会社エルテス,有価証券報告書－第11期(令和3年3月1日－令和4年2月28日),S100O4IB,39670,E32750,2022-02-28,2022-05-26,情報・通信業
東宝株式会社,有価証券報告書－第133期(令和3年3月1日－令和4年2月28日),S100O3B2,96020,E04583,2022-02-28,2022-05-26,情報・通信業
株式会社乃村工藝社,有価証券報告書－第85期(令和3年3月1日－令和4年2月28日),S100O4CQ,97160,E04835,2022-02-28,2022-05-26,サービス業
株式会社ドトール・日レスホールディングス,有価証券報告書－第15期(令和3年3月1日－令和4年2月28日),S100O4KF,30870,E03518,2022-02-28,2022-05-26,小売業
株式会社日宣,有価証券報告書－第69期(令和3年3月1日－令和4年2月28日),S100O4CH,65430,E32951,2022-02-28,2022-05-26,サービス業
古野電気株式会社,有価証券報告書－第71期(令和3年3月1日－令和4年2月28日),S100O4KM,68140,E01839,2022-02-28,2022-05-26,電気機器
株式会社近鉄百貨店,有価証券報告書－第128期(令和3年3月1日－令和4年2月28日),S100O4OF,82440,E03021,2022-02-28,2022-05-26,小売業
イオン株式会社,有価証券報告書－第97期(令和3年3月1日－令和4年2月28日),S100O3HQ,82670,E03061,2022-02-28,2022-05-26,小売業
株式会社エコス,有価証券報告書－第57期(令和3年3月1日－令和4年2月28日),S100O3O8,75200,E03274,2022-02-28,2022-05-27,小売業
株式会社スーパーバリュー,有価証券報告書－第26期(令和3年3月1日－令和4年2月28日),S100O47A,30940,E03523,2022-02-28,2022-05-27,小売業
株式会社昴,有価証券報告書－第64期(令和3年3月1日－令和4年2月28日),S100O43M,97780,E04941,2022-02-28,2022-05-27,サービス業
株式会社ライフフーズ,有価証券報告書－第36期(令和3年3月1日－令和4年2月28日),S100O49D,30650,E03490,2022-02-28,2022-05-27,小売業
株式会社芦の湖カントリークラブ,有価証券報告書－第64期(令和3年3月1日－令和4年2月28日),S100O3I1,,E04614,2022-02-28,2022-05-27,サービス業
株式会社スタジオアリス,有価証券報告書－第48期(令和3年3月1日－令和4年2月28日),S100O4IF,23050,E03393,2022-02-28,2022-05-27,サービス業
株式会社リヒトラブ,有価証券報告書－第74期(令和3年3月1日－令和4年2月28日),S100O41C,79750,E00667,2022-02-28,2022-05-27,その他製品
ＤＣＭホールディングス株式会社,有価証券報告書－第16期(令和3年3月1日－令和4年2月28日),S100O4M7,30500,E03489,2022-02-28,2022-05-27,小売業
株式会社アルバイトタイムス,有価証券報告書－第49期(令和3年3月1日－令和4年2月28日),S100O4DB,23410,E05316,2022-02-28,2022-05-27,サービス業
株式会社ダイセキ,有価証券報告書－第64期(令和3年3月1日－令和4年2月28日),S100O3TC,97930,E04931,2022-02-28,2022-05-27,サービス業
株式会社壱番屋,有価証券報告書－第40期(令和3年3月1日－令和4年2月28日),S100O4SN,76300,E03329,2022-02-28,2022-05-27,小売業
わらべや日洋ホールディングス株式会社,有価証券報告書－第58期(令和3年3月1日－令和4年2月28日),S100O4E5,29180,E00496,2022-02-28,2022-05-27,食料品
株式会社ヨンドシーホールディングス,有価証券報告書－第72期(令和3年3月1日－令和4年2月28日),S100O4NR,80080,E02621,2022-02-28,2022-05-27,卸売業
株式会社カルラ,有価証券報告書－第50期(令和3年3月1日－令和4年2月28日),S100O4SR,27890,E03422,2022-02-28,2022-05-27,小売業
株式会社ライフコーポレーション,有価証券報告書－第67期(令和3年3月1日－令和4年2月28日),S100O3W2,81940,E03083,2022-02-28,2022-05-27,小売業
株式会社吉野家ホールディングス,有価証券報告書－第65期(令和3年3月1日－令和4年2月28日),S100O4LW,98610,E03153,2022-02-28,2022-05-27,小売業
株式会社ハローズ,有価証券報告書－第64期(令和3年3月1日－令和4年2月28日),S100O4SW,27420,E03395,2022-02-28,2022-05-27,小売業
株式会社ランド,有価証券報告書－第26期(令和3年3月1日－令和4年2月28日),S100O4P2,89180,E04015,2022-02-28,2022-05-27,不動産業
株式会社魚喜,有価証券報告書－第37期(令和3年3月1日－令和4年2月28日),S100O4ST,26830,E03365,2022-02-28,2022-05-27,小売業
株式会社アダストリア,有価証券報告書－第72期(令和3年3月1日－令和4年2月28日),S100O4C8,26850,E03368,2022-02-28,2022-05-27,小売業
株式会社ジェーソン,有価証券報告書－第37期(令和3年3月1日－令和4年2月28日),S100O4MK,30800,E03509,2022-02-28,2022-05-27,小売業
株式会社東天紅,有価証券報告書－第66期(令和3年3月1日－令和4年2月28日),S100O4NZ,81810,E04784,2022-02-28,2022-05-27,小売業
株式会社安川電機,有価証券報告書－第106期(令和3年3月1日－令和4年2月28日),S100O4U1,65060,E01741,2022-02-28,2022-05-27,電気機器
インターライフホールディングス株式会社,有価証券報告書－第12期(令和3年3月1日－令和4年2月28日),S100O4KJ,14180,E24512,2022-02-28,2022-05-27,建設業
